# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 27 08:42:40 EDT 2024 [seed=17336]
# -overwrite -beagle_cuda -beagle_double -beagle_order 1 -seed 17336 -errors 1000 omicron_SC_EXP_lamda_1B_fixedclock_gamma_corrected.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	clock.rate	meanRate	copies.precision.col1	copies.varCovar.copies.precision.col1	copies.diffusionRate	copies.lambda	treeLikelihood	branchRates	copies.traitLikelihood	coalescent
0	-82758.80714885467	-238.15383881462432	-82520.65331004004	4.4859587815013535	2018.0236302184987	24.23266228142437	1.0	0.0	2.0	0.5	0.0011	0.0011	0.05	20.0	0.8708432939069919	0.5	-72795.73455596375	0.0	-9724.918754076294	-231.64270130635322
100000	-57452.698543457605	-576.1039164550755	-56876.59462700253	5.482675205147589	2017.0269137948524	68.91137059107031	2.8938905671479285	-0.6285740857056934	1.783358611364546	0.014109007291308701	0.0011	0.0010999999999999992	6.113938756835365E-4	1635.6068318185278	0.8972413879052672	0.6296336925958759	-56312.92606531128	0.0	-563.6685616912521	-571.7407278393006
200000	-57178.77133933848	-561.3133377427489	-56617.458001595725	5.757837121001266	2016.7517518789987	65.50281629516321	2.4552410045938506	-0.9293875812216479	1.8749525422304767	0.024045406924989937	0.0011	0.0011000000000000018	6.86411504965741E-4	1456.8520381223946	1.4513440460140454	0.7952763872781456	-56059.38243761488	0.0	-558.0755639808491	-556.6370827502973
300000	-57148.03053477936	-559.4894127903876	-56588.54112198897	5.450151844047555	2017.0594371559525	66.34914151661908	2.1106379776495015	-0.8936543296446702	1.6410943417857764	0.020950801367558048	0.0011	0.001100000000000002	7.083067853739558E-4	1411.8176200614014	1.3319623965769172	0.7401797151960274	-56031.60924313319	0.0	-556.9318788557786	-555.2176342309286
400000	-57119.67070029721	-561.2643962509605	-56558.40630404625	5.001907787771785	2017.5076812122281	64.91506714144164	2.817150501283481	-0.739928305129032	1.8327447681777247	0.03311095942539484	0.0011	0.0010999999999999985	6.098182526141798E-4	1639.8328448077473	2.129416052556082	0.8383593935926972	-55999.106821198155	0.0	-559.2994828480959	-556.3272624322153
500000	-56998.24912406187	-570.9167928027786	-56427.33233125909	5.356605921700032	2017.1529830783	66.78157829714624	2.1486284427328637	-0.8545378614101915	1.8162889564390006	0.026598541173370512	0.0011	0.0010999999999999975	9.194811536659917E-4	1087.5698713486165	5.645730550966148	0.9999811782868641	-56039.683975025626	0.0	-387.64835623346227	-557.1818427922595
600000	-57023.96933568302	-588.1638922983942	-56435.80544338463	5.850824913003335	2016.6587640869966	70.49451081709941	2.1468606928690495	-1.0768351193848944	1.7046760900676166	0.02092622373233668	0.0011	0.0011000000000000005	0.0011169671600392618	895.2814691211241	5.1916223796385434	0.9998067936367783	-56060.534352527815	0.0	-375.27109085680826	-576.7158476768606
700000	-56971.1940759569	-555.0091294441095	-56416.18494651279	5.003627619585044	2017.5059613804149	64.81752407245705	2.575859698002652	-0.751333888047901	1.8496553172417873	0.00630666603029991	0.0011	0.0010999999999999998	0.0014013289558528342	713.6083186059695	4.973071093240138	0.9998409228935373	-56053.70335069693	0.0	-362.48159581586015	-543.044142457442
800000	-56983.469406150216	-572.3134882537141	-56411.1559178965	5.326417350317107	2017.183171649683	67.35409029894959	3.0521720150207448	-0.6541489752545135	1.8842144924258903	0.019485127044951676	0.0011	0.0011000000000000003	0.0015846573164282536	631.0512623978256	4.3621848308286015	0.9998409228935373	-56061.764385234914	0.0	-349.3915326615868	-560.0778207517957
900000	-56990.53069118926	-572.524256371692	-56418.00643481757	4.9592767565073865	2017.5503122434927	66.14459757313853	2.91773821700254	-0.6680529691913561	1.7662547595837643	0.03635534793822867	0.0011	0.0011000000000000014	0.0015696356205199878	637.09053676338	4.688987977352343	0.9998409228935373	-56063.26472336849	0.0	-354.7417114490796	-560.3526724106877
