# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Sep 26 16:02:47 EDT 2022 [seed=27602]
# -beagle_scaling always -overwrite -threads 8 -beagle_SSE -beagle_opencl -beagle_instances 4 -seed 27602 -errors 1000 omicron_SC_EXP_lamda_500M_fixedclock_gamma.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	clock.rate	meanRate	copies.precision.col1	copies.varCovar.copies.precision.col1	copies.diffusionRate	copies.lambda	treeLikelihood	branchRates	copies.traitLikelihood	coalescent
900000	-60446.81087432121	-709.21073869864	-59737.60013562257	5.444769597138937	2017.064819402861	82.01571359657339	3.3046973984907675	-0.9089574484158156	1.526172020464783	0.045732455264695396	0.0011	0.001099999999999999	0.0010824910721810518	923.7951477836717	4.286874051405926	0.9998703237487713	-59370.47708604655	0.0	-367.12304957601737	-696.9741250240369
950000	-60471.10631434091	-710.0435387360689	-59761.06277560484	5.600898385457666	2016.9086906145424	81.25380996554647	3.62281322136469	-0.8082714554239461	1.5682952119263653	0.0163510427610678	0.0011	0.0010999999999999998	0.0013289811009649425	752.4561480023478	4.248541468187145	0.9997817476811298	-59386.80950873246	0.0	-374.25326687238214	-698.1752086124753
1000000	-60434.2494664644	-684.8642528639454	-59749.38521360045	5.535028464059008	2016.974560535941	78.77092837229341	3.3634058076156306	-0.869075827449538	1.631697623568843	0.052076732568767096	0.0011	0.0011000000000000012	0.001153266017351055	867.1026328313282	4.405128058142858	0.9997817476811298	-59396.80540705036	0.0	-352.57980655009044	-673.0429715135742
1050000	-60410.90750064261	-687.9869495328417	-59722.92055110977	5.452159475858576	2017.0574295241415	79.7719704362717	3.7282063449907095	-0.7820049390710226	1.4705873089818762	0.014177165644376937	0.0011	0.0011000000000000018	0.0013207445958948183	757.1486592549633	3.987102056160783	0.9997817476811298	-59380.26602747395	0.0	-342.65452363582415	-676.1380255056818
1100000	-60404.03274768043	-695.6702985895874	-59708.36244909084	5.888401293783747	2016.6211877062162	83.59494002631342	3.0624336694552747	-0.9749325369942887	1.5419159383044478	0.039556308192909145	0.0011	0.0010999999999999988	0.0011945312433411766	837.148467714364	4.117262476049878	0.9997817476811298	-59371.951108165245	0.0	-336.41134092559287	-683.9862289424731
1150000	-60433.658537523355	-695.7856807308632	-59737.87285679249	6.390577095911739	2016.1190119040882	86.30786275321209	3.620907192264662	-0.664743788783368	1.5691426453149229	0.007959179178481511	0.0011	0.0010999999999999994	0.0013461334819156704	742.8683807618462	3.879731100546205	0.9997817476811298	-59398.16904414283	0.0	-339.70381264966016	-683.9293252296541
1200000	-60431.41569670809	-707.5426245363893	-59723.8730721717	5.987899447215763	2016.5216895527842	85.05698843435815	4.074629554538028	-0.6422511942022779	1.5838235290451772	0.04422863614321137	0.0011	0.0011000000000000025	0.001325598293590319	754.3763482763305	3.9678446327362424	0.9997817476811298	-59378.24694319092	0.0	-345.6261289807806	-695.4975309243422
1250000	-60425.69665917418	-702.1325240849646	-59723.56413508922	6.166905615350537	2016.3426833846495	84.57895745215944	3.2710624599568323	-1.047955791807495	1.4797630247747129	0.007990307691457178	0.0011	0.0011000000000000012	0.0016815051021483326	594.7053022452178	3.7122197462131843	0.9997817476811298	-59402.60361576277	0.0	-320.9605193264497	-690.2994125887653
1300000	-60447.892670986475	-710.9370643670387	-59736.955606619435	5.521016556783129	2016.988572443217	84.77722447590281	3.3563991149753094	-0.8132310330793326	1.5931517913678457	0.025005741620914165	0.0011	0.0010999999999999981	0.0013394620422980219	746.5683747815425	3.8153525554987056	0.9997817476811298	-59398.8194793563	0.0	-338.136127263133	-699.1135554939124
1350000	-60429.99273005567	-723.719183245268	-59706.2735468104	5.3950645839064055	2017.1145244160937	85.06389713334947	4.88051287397335	-0.406362301350915	1.5688965761029132	0.009557459376196576	0.0011	0.0011000000000000007	0.0016387723418637503	610.2128858623007	3.63658203828835	0.9997304653672264	-59374.23832962995	0.0	-332.0352171804484	-711.676282917083
